"stop_name","lat","lon","equipmenttype","ADA","n"
"Fresh Pond Rd",40.706186,-73.895877,NA,"N",0
"Forest Av",40.704423,-73.903077,NA,"N",0
"Seneca Av",40.702762,-73.90774,NA,"N",0
"Myrtle - Wyckoff Avs",40.69943,-73.912385,"EL","Y",6
"Myrtle - Wyckoff Avs",40.69943,-73.912385,"ES","N",4
"Knickerbocker Av",40.698664,-73.919711,NA,"N",0
"Central Av",40.697857,-73.927397,NA,"N",0
"Myrtle Av",40.697207,-73.935657,NA,"N",0
"Flushing Av",40.70026,-73.941126,"EL","Y",6
"Lorimer St",40.703869,-73.947408,NA,"N",0
"Hewes St",40.70687,-73.953431,NA,"N",0
"Marcy Av",40.708359,-73.957757,"EL","Y",2
"Essex St",40.718315,-73.987437,NA,"N",0
"Bowery",40.72028,-73.993915,"ES","N",1
"Canal St",40.718092,-73.999892,"EL","Y",12
"Chambers St",40.713243,-74.003401,"EL","Y",9
"Fulton St",40.710374,-74.007582,"EL","N",5
"Fulton St",40.710374,-74.007582,"EL","Y",90
"Fulton St",40.710374,-74.007582,"ES","N",60
"Broad St",40.706476,-74.011056,NA,"N",0
"Canal St",40.718383,-74.00046,"EL","Y",12
"72 St",40.768799,-73.958424,"EL","Y",27
"72 St",40.768799,-73.958424,"ES","N",30
"86 St",40.777891,-73.951787,"EL","Y",12
"86 St",40.777891,-73.951787,"ES","N",78
"96 St",40.784318,-73.947152,"EL","Y",16
"96 St",40.784318,-73.947152,"ES","N",36
"Astoria - Ditmars Blvd",40.775036,-73.912034,NA,"N",0
"Astoria Blvd",40.770258,-73.917843,NA,"N",0
"30 Av",40.766779,-73.921479,NA,"N",0
"Broadway",40.76182,-73.925508,NA,"N",0
"36 Av",40.756804,-73.929575,NA,"N",0
"39 Av",40.752882,-73.932755,NA,"N",0
"Queensboro Plaza",40.750582,-73.940202,NA,"N",0
"Lexington Av/59 St",40.76266,-73.967258,"ES","N",4
"5 Av/59 St",40.764811,-73.973347,NA,"N",0
"57 St - 7 Av",40.764664,-73.980658,"EL","N",1
"49 St",40.759901,-73.984139,"EL","Y",1
"Times Sq - 42 St",40.754672,-73.986754,"EL","N",4
"Times Sq - 42 St",40.754672,-73.986754,"EL","Y",16
"Times Sq - 42 St",40.754672,-73.986754,"ES","N",28
"34 St - Herald Sq",40.749567,-73.98795,"EL","N",2
"34 St - Herald Sq",40.749567,-73.98795,"EL","Y",10
"34 St - Herald Sq",40.749567,-73.98795,"ES","N",24
"28 St",40.745494,-73.988691,"EL","N",3
"23 St",40.741303,-73.989344,"EL","Y",10
"14 St - Union Sq",40.735736,-73.990568,"EL","Y",6
"14 St - Union Sq",40.735736,-73.990568,"ES","N",4
"8 St - NYU",40.730328,-73.992629,NA,"N",0
"Prince St",40.724329,-73.997702,NA,"N",0
"Canal St",40.719527,-74.001775,"EL","Y",12
"City Hall",40.713282,-74.006978,NA,"N",0
"Cortlandt St",40.710668,-74.011029,"ES","N",2
"Rector St",40.70722,-74.013342,NA,"N",0
"Whitehall St",40.703087,-74.012994,NA,"N",0
"Court St",40.6941,-73.991777,"EL","N",2
"Court St",40.6941,-73.991777,"ES","N",2
"Jay St - MetroTech",40.69218,-73.985942,"EL","N",2
"Jay St - MetroTech",40.69218,-73.985942,"EL","Y",8
"Jay St - MetroTech",40.69218,-73.985942,"ES","N",12
"DeKalb Av",40.690635,-73.981824,"EL","Y",6
"DeKalb Av",40.690635,-73.981824,"ES","N",4
"Atlantic Av - Barclays Ctr",40.683666,-73.97881,"EL","Y",30
"Atlantic Av - Barclays Ctr",40.683666,-73.97881,"ES","N",9
"Union St",40.677316,-73.98311,NA,"N",0
"9 St",40.670847,-73.988302,NA,"N",0
"Prospect Av",40.665414,-73.992872,NA,"N",0
"25 St",40.660397,-73.998091,NA,"N",0
"36 St",40.655144,-74.003549,NA,"N",0
"45 St",40.648939,-74.010006,NA,"N",0
"53 St",40.645069,-74.014034,NA,"N",0
"59 St",40.641362,-74.017881,"ES","N",8
"Bay Ridge Av",40.634967,-74.023377,NA,"N",0
"77 St",40.629742,-74.02551,NA,"N",0
"86 St",40.622687,-74.028398,"EL","Y",12
"86 St",40.622687,-74.028398,"ES","N",78
"Bay Ridge - 95 St",40.616622,-74.030876,NA,"N",0
